lineage,time_bin,pi,n_samples
AY.119.2,2021-10-18/2021-10-24,0.0003606948662628,45
AY.119.2,2021-10-25/2021-10-31,0.0003467308525207,41
AY.119.2,2021-11-01/2021-11-07,0.0003945658060629,56
AY.119.2,2021-11-08/2021-11-14,0.0004122686745623,76
AY.119.2,2021-11-15/2021-11-21,0.000403020564751,53
AY.119.2,2021-11-22/2021-11-28,0.0004098169705727,44
AY.119.2,2021-11-29/2021-12-05,0.0004269660491444,78
AY.119.2,2021-12-06/2021-12-12,0.0004369231196349,53
AY.119.2,2021-12-13/2021-12-19,0.0004898752464902,35
AY.120,2021-05-31/2021-06-06,0.0001063086435615,20
AY.120,2021-06-07/2021-06-13,0.0001483428898738,13
AY.120,2021-06-21/2021-06-27,0.0001711173820995,26
AY.120,2021-06-28/2021-07-04,0.0001876345998202,29
AY.120,2021-07-05/2021-07-11,0.0001987909054089,28
AY.120,2021-07-12/2021-07-18,0.0002563845322097,13
AY.120,2021-07-19/2021-07-25,0.0002588657923076,43
AY.120,2021-07-26/2021-08-01,0.0003011269003494,30
AY.120,2021-08-02/2021-08-08,0.0002750829833666,32
AY.120,2021-08-09/2021-08-15,0.0003087261055644,50
AY.120,2021-08-16/2021-08-22,0.0003093925260302,51
AY.120,2021-08-23/2021-08-29,0.0003136016493935,43
AY.120,2021-08-30/2021-09-05,0.0003298298908405,32
AY.120,2021-09-06/2021-09-12,0.0003204321149416,42
AY.120,2021-09-13/2021-09-19,0.000330196765337,37
AY.120,2021-09-20/2021-09-26,0.0004572768478022,35
AY.120,2021-09-27/2021-10-03,0.000394872814547,29
AY.120,2021-10-04/2021-10-10,0.0004142453762893,40
AY.120,2021-10-11/2021-10-17,0.0004584405783943,43
AY.120,2021-10-18/2021-10-24,0.0004634869117749,39
AY.120,2021-10-25/2021-10-31,0.0004890599262401,40
AY.120,2021-11-01/2021-11-07,0.0005576577943898,40
AY.120,2021-11-08/2021-11-14,0.0005409385772166,51
AY.120,2021-11-15/2021-11-21,0.0005333984339787,38
AY.120,2021-11-22/2021-11-28,0.0006013099861504,44
AY.120,2021-11-29/2021-12-05,0.0005479071758286,38
AY.120,2021-12-06/2021-12-12,0.0005947006431907,16
AY.120,2021-12-13/2021-12-19,0.000680989745632,11
AY.120.1,2021-06-21/2021-06-27,0.0001482375861288,19
AY.120.1,2021-06-28/2021-07-04,0.0002203202118221,17
AY.120.1,2021-07-05/2021-07-11,0.0002625045380936,18
